"Row.names","logFC","logCPM","PValue","FDR","dko","sko"
"Bmp5",0.695180639640534,3.38324132504229,8.21093980680767e-06,0.000603504075800364,233,144
"Gzmc",1.09338573856587,3.13171655433937,8.19729394307357e-06,0.000603504075800364,214.75,100.75
"Msx1",-0.599602556685406,8.20023313106319,8.26863863608762e-06,0.000604231963222079,4291.25,6502
"Gas6",-0.635759411208054,6.15254156454728,8.45062129662068e-06,0.000613981347309647,1021.25,1587
"Rad23a",-0.352582273537401,6.04050337022841,8.55143877917514e-06,0.000617755937407612,1059.75,1353
"Ano1",-0.480987487188458,6.43822347588939,8.76126673188464e-06,0.000629317806957304,1327.75,1852.75
"Pcdh17",0.54408688780646,4.41602568388712,9.35451713344541e-06,0.000668134494920999,462,316.25
"Tmprss4",0.337888406912896,6.17140986832661,1.07963581646308e-05,0.000766784044479002,1474,1166.25
"1190007I07Rik",0.812990098834292,3.02726815075336,1.0918722846693e-05,0.000771142425854149,187.5,106.75
"Cd34",-0.425069081026655,7.24436481559048,1.1272169078401e-05,0.000791682008273031,2375,3188.25
"Fam129c",1.00849155920391,1.62738314271313,1.1616740804282e-05,0.000802782603776168,72,36
"Kcnn1",0.969922041276642,1.76504079496041,1.15389396143731e-05,0.000802782603776168,79.25,40.5
"Thy1",-0.522242788051089,6.31795015316255,1.16207258733617e-05,0.000802782603776168,1201.25,1724.25
"Ltf",1.38778315356982,5.61614512148074,1.18282528567925e-05,0.000812678112041142,1297.75,495.75
"Lrig1",0.612068346191471,7.39512931113075,1.2553329203104e-05,0.00085783344748995,3731.5,2441.75
"Ift122",0.349528167927179,6.01030854982071,1.26358609130448e-05,0.000858830933670499,1323,1038.25
"Tnfrsf1b",0.39076451069334,5.85449577186415,1.35589530421609e-05,0.000916643231866299,1201.75,917.25
"Ndufa12",0.388104827608863,5.44858051871448,1.43683129807176e-05,0.000966192620756551,905.75,692
"Mri1",-0.631552591582487,4.86188151906192,1.59957620995684e-05,0.00106993875377113,417.75,646.75
"2410127L17Rik",1.7059242651325,1.78312197158936,1.77747807448017e-05,0.00118267777987254,92.25,28
"Ccl12",0.903869609135313,2.39129642613318,1.85610474927456e-05,0.00122852755184968,122.25,65.25
"Tshr",-1.0114651971572,2.3844603948516,1.93848331963756e-05,0.00127637011077386,62.5,126.75
"Sptlc3",-0.929972200416513,2.494047734928,1.94930004605284e-05,0.00127684203016581,70.5,134.25
"Flt4",-0.581688129038677,4.07283996204523,1.95979794180065e-05,0.00127710131856927,246.25,368.5
"Col4a6",-0.539625849521721,5.50272358723426,2.09715938380786e-05,0.00135960456051789,677.75,984.25
"Id3",-0.328444454009336,6.35898524415024,2.19447583135649e-05,0.00141543691122493,1334.5,1676
"Bcl3",0.439635600691867,4.67952952571384,2.33942868268909e-05,0.00149368976800785,538.25,396.75
"Rbp4",-0.93866167030101,1.72175950364235,2.33390399402267e-05,0.00149368976800785,40.25,77.5
"Cldn6",-0.742240727200007,3.67392994908188,2.36327124999456e-05,0.0015013304091674,174.5,292.25
"Rassf4",0.385291682353712,6.18736373401236,2.41907698886931e-05,0.00152909856466429,1512,1157.25
"B930095G15Rik",0.890729445994729,2.94949165241192,2.48752324910043e-05,0.00154770502095666,180.5,97.25
"Fbln5",-0.419075654182633,5.74421395486151,2.49748318521721e-05,0.00154770502095666,840.5,1124
"Lgals3bp",0.313663960456235,8.18420921534698,2.47569538256506e-05,0.00154770502095666,5914,4757.75
"Pigr",0.725806925788791,5.77787282509167,2.49186229082912e-05,0.00154770502095666,1251.5,756.5
"Dennd5a",-0.344041775154949,6.58937787870728,2.54751651533132e-05,0.00157100994082041,1556.25,1975.25
"Cyp4x1",-0.894159781955602,2.6601765423485,2.61020836792701e-05,0.00160185699938511,80.25,149.5
"Tmem119",-0.433528035422569,5.84542803270781,2.6518515397928e-05,0.00161955107082419,896.75,1211
"F3",-0.362720408254761,5.2543699838074,2.7076642899799e-05,0.00163781301214956,611.75,786.5
"Scube1",-0.692848233800673,5.06135799955009,2.70117966248369e-05,0.00163781301214956,467.75,755.75
"4930458D05Rik",1.13679355701594,1.44659628249285,2.85744786445296e-05,0.00172018361440068,65,29.5
"Unc13a",0.825967502527317,2.30712738676951,2.93811103051803e-05,0.00176036017288194,113,63.5
"Ctla2a",-0.529212940261623,4.37832367636344,2.98695562851844e-05,0.00178118363470425,311.5,449.75
"Galnt5",0.668710616196186,3.24753093726478,3.02737651299774e-05,0.00179681191912289,210.5,132.5
"Rhob",-0.448948856007676,6.96156688175623,3.0917625954002e-05,0.00182645152948829,1933,2638.75
"Cd300lf",1.10139316955266,1.66781750824681,3.21736344955987e-05,0.00189180970834121,75.75,35.5
"Tap2",0.414649837385292,4.65597062748706,3.33256644561042e-05,0.00195047708358365,526,394.5
"Gfra1",1.04675622111333,2.09187359937324,3.51352182627632e-05,0.00204690981234034,102.25,49
"Adamts2",-0.339590588468163,6.11045403940699,3.58084907432611e-05,0.00207656394484544,1117.75,1415
"St3gal2",-0.456437676437454,5.41981111496647,3.6250910929649e-05,0.00209262107750056,661,907.25
"Lmna",-0.285328376304702,7.77173707161869,3.91002034228645e-05,0.0022468398712357,3614.5,4404.5
"Muc20",0.522938022110592,4.71860430279342,3.97156405594662e-05,0.00227187840702612,567,394.5
"Sptb",0.753821977842812,3.98877458389773,4.10824972698386e-05,0.0023394816688527,361.75,215
"H2-T22",0.524814189922467,4.3356393549125,4.21821462950573e-05,0.0023806548815273,434.5,301.5
"L3hypdh",-0.834583164460479,2.87616957682641,4.203001731181e-05,0.0023806548815273,96,171
"Ntn1",-0.705490528637808,4.99967679583161,4.28675411794483e-05,0.00240858424706927,445.25,726
"Aktip",0.437216855565624,6.65182461774824,4.37995035027638e-05,0.00244855228626147,2119.5,1565.75
"Mmrn1",-0.946024249661107,3.60293899974264,4.39662528857265e-05,0.00244855228626147,151.75,292.5
"a",1.03836543796406,1.62957020916002,4.61162759114798e-05,0.00250215433507694,72.5,35.5
"Cplx2",-0.684197251852551,3.96258589617945,4.59327659778822e-05,0.00250215433507694,218.75,351.5
"Pdgfa",-0.443326676009552,4.8510606520573,4.60846073546685e-05,0.00250215433507694,448,608.5
"Prr5l",0.424569828176588,5.01653308924416,4.57404173700137e-05,0.00250215433507694,678.25,505.25
"Rprm",-0.942229297881341,2.29653324471088,4.59204767168023e-05,0.00250215433507694,60.75,116.75
"Sfrp2",-0.864442203299456,4.58431107323548,4.56847531092453e-05,0.00250215433507694,311,566.25
"Gjb2",0.464393430176327,6.8677483392979,4.64268481325198e-05,0.00250824023115947,2482.25,1799.25
"Dock7",0.284582577193818,6.97500274850324,4.69416343014336e-05,0.00250927551757702,2533.25,2079.25
"Egln3",0.41408456806789,6.81412613597094,4.67569266935405e-05,0.00250927551757702,2356.5,1768.5
"Maob",-1.09667068891782,3.51069770871498,4.70414726835748e-05,0.00250927551757702,132.5,283.5
"Bmp7",-0.448539665401277,4.92416185328698,4.8594015269893e-05,0.00258119975227726,470.25,641.5
"Ccl11",1.08751610512245,2.56451806915427,4.88169846798424e-05,0.00258219380888104,143.5,67.5
"1700010I14Rik",-0.997458715676271,1.48549762872749,4.91231660185604e-05,0.00258756277002767,33.5,66.5
"Tmem176a",0.459031049951731,7.23093102820207,4.99016905292613e-05,0.00261766461274241,3188.75,2320
"BC068157",0.899467434771559,2.11933815051621,5.04962912110309e-05,0.00262705396497882,100.5,54
"Chaf1b",0.281819823193254,6.28717364069881,5.03767849029899e-05,0.00262705396497882,1570.25,1291.5
"1500015O10Rik",-0.849749014661968,4.24618509058684,5.20373673130372e-05,0.00269613277693204,248.5,448.25
"2510049J12Rik",0.830277464083845,2.99284802249049,5.2544991181891e-05,0.00271132154498557,183.5,103.5
"H2-Q6",1.0563911094031,2.81433544920927,5.52795688906292e-05,0.00284083052811112,170.5,81.75
"Hebp2",-0.418046138723241,5.35293446501237,5.57194244927026e-05,0.00285184196128237,641,856.75
"Eda2r",-1.14884752865551,2.81117392742677,5.65938107424096e-05,0.00286183582162217,79.5,175.75
"Ldhb",-0.344709289695908,7.73145973209468,5.63301021036854e-05,0.00286183582162217,3435.75,4362.5
"Lrrc17",-0.410939740266945,5.36848884024672,5.64463578280909e-05,0.00286183582162217,650,863.5
"Naip6",-0.585818084672991,4.95457965774644,6.03884352989729e-05,0.00304155617151241,454.25,681.75
"Wnt16",-0.517561692222598,5.75490314926663,6.096483974992e-05,0.00305840279412099,814,1165.5
"H2-T23",0.50829199318094,4.68758653283465,6.29724058020489e-05,0.00314662906778459,552.25,388.25
"Col4a5",-0.429496286527345,7.52930756535751,6.44553147464094e-05,0.0032080475945831,2888.75,3889.75
"Glipr2",-0.51036572169656,4.30523344547953,6.53089736927997e-05,0.00323778841342892,298.25,424.5
"Uba52",-0.74652290358669,2.44808266451144,6.64782287984288e-05,0.00328288190808491,73.5,123.5
"Itih5",-0.562279990960494,6.73448354341184,6.6873675644413e-05,0.00328956034045397,1577.25,2329
"Dynll1",-0.36123947879161,7.46352828408661,6.75647594122242e-05,0.00331067321119899,2834.25,3641.25
"Prkab1",0.278201644400068,6.80540265055649,6.836698802307e-05,0.00333704811809904,2247.5,1853.25
"Rab15",0.305965929215078,7.34788306547946,6.94281351753472e-05,0.00337580955725669,3302.5,2671.75
"Plb1",0.535939942048567,4.74471945831992,7.14690105711036e-05,0.00346172885685782,579.25,399.25
"Chodl",0.558565036228061,4.44100098404821,7.27399417796614e-05,0.00350984100755145,471,320.25
"Tgm2",-0.520737593952698,6.44371596280974,7.58338401662512e-05,0.00364521447673668,1310.75,1881.25
"Pttg1",0.460726016543272,5.45890597904649,7.62818100495933e-05,0.00365285849487484,931.5,677.25
"D430019H16Rik",-0.786650077678746,3.98461979958285,8.01363404505021e-05,0.00382295704141603,212.5,366.25
